Temperatura,TDS,Turbidez,PH,Clase,,Condición,Clase
23.81,83.61,3.65,6.83,0,,,
23.81,83.25,1.5,6.83,0,,,
23.87,83.24,2.4,6.83,0,,,
23.81,83.24,8.7,6.83,0,,,
23.87,83.35,0,6.83,0,,,
23.81,83.35,3.7,6.82,0,,,
23.87,83.36,3.75,6.82,0,,,
23.87,83.3,3.8,6.81,0,,,
23.81,81.45,3.55,6.8,0,,,
23.87,81.45,4.65,6.8,0,,,
23.87,81.42,2.95,6.8,0,,,
23.81,81.33,4.05,6.79,0,,,
23.81,81.43,4,6.8,0,,,
23.81,81.32,3.7,6.8,0,,,
23.87,79.1,4,6.79,0,,,
23.81,79.26,6.15,6.8,0,,,
23.87,77.91,3.5,6.8,0,,,
23.87,77.92,6.35,6.8,0,,,
23.87,77.92,3.9,6.8,0,,,
23.87,77.89,3.55,6.8,0,,,
23.87,77.89,3.55,6.8,0,,,
23.87,77.58,3.85,6.8,0,,,
23.87,77.75,4.05,6.8,0,,,
23.87,77.28,3.55,6.79,0,,,
23.87,77.27,3.9,6.78,0,,,
23.87,77.39,3.75,6.79,0,,,
23.87,77.38,3.75,6.79,0,,,
23.87,77.38,8.8,6.79,0,,,
23.87,77.31,3.65,6.79,0,,,
23.87,77.24,3.65,6.79,0,,,
23.87,75.72,3.3,6.79,0,,,
23.87,76.03,4.25,6.8,0,,,
23.87,76.42,3.95,6.8,0,,,
23.87,77.16,5.25,6.8,0,,,
23.87,77,2.35,6.8,0,,,
23.81,76.99,3.9,6.8,0,,,
23.87,77.01,3.75,6.8,0,,,
23.87,77.06,3.85,6.8,0,,,
23.81,78.87,3.8,6.8,0,,,
23.87,78.42,1.1,6.8,0,,,
23.87,78.42,4,6.8,0,,,
23.87,78.46,4,6.8,0,,,
23.87,78.4,3.75,6.8,0,,,
23.81,78.43,3.4,6.8,0,,,
23.81,78.29,3.7,6.8,0,,,
23.87,78.14,3.7,6.81,0,,,
23.87,79.33,3.7,6.82,0,,,
23.81,79.33,3.5,6.82,0,,,
23.87,79.32,3.45,6.82,0,,,
23.87,79.41,3.85,6.82,0,,,
23.87,79.41,3.65,6.82,0,,,
23.87,79.43,3.2,6.82,0,,,
23.87,79.41,3.9,6.82,0,,,
23.87,79.4,4.05,6.82,0,,,
23.87,79.23,4,6.82,0,,,
23.87,79.12,3.85,6.82,0,,,
23.87,80.77,0.85,6.82,0,,,
23.87,80.67,6.3,6.82,0,,,
23.87,80.79,0,6.82,0,,,
23.87,80.84,3.85,6.81,0,,,
23.87,80.85,3.95,6.82,0,,,
23.87,80.91,3.95,6.82,0,,,
23.87,81.12,3.45,6.82,0,,,
23.87,80.72,3.5,6.82,0,,,
23.87,80.2,4.25,6.82,0,,,
23.87,80.2,4.55,6.82,0,,,
23.87,80.18,1.8,6.82,0,,,
23.87,80.18,3.95,6.82,0,,,
23.87,80.22,3.75,6.82,0,,,
23.81,80.61,3.6,6.81,0,,,
23.87,80.61,3.7,6.81,0,,,
23.87,80.64,4.15,6.81,0,,,
23.87,80.64,6,6.81,0,,,
23.87,80.54,3.85,6.81,0,,,
23.87,80.68,3.55,6.81,0,,,
23.87,80.65,3.7,6.81,0,,,
23.87,80.48,4,6.81,0,,,
23.87,80.48,3.75,6.8,0,,,
23.81,80.49,3.7,6.8,0,,,
23.87,80.43,3.75,6.8,0,,,
23.87,81.13,3.15,6.8,0,,,
23.81,81.11,4,6.8,0,,,
23.81,81.13,3.7,6.8,0,,,
23.87,81.07,3.7,6.8,0,,,
23.87,81.09,3.7,6.8,0,,,
23.81,80.93,3.45,6.8,0,,,
23.87,79.27,3.8,6.8,0,,,
23.87,79.01,4,6.8,0,,,
23.87,78.97,0.8,6.8,0,,,
23.81,78.99,3.9,6.8,0,,,
23.87,78.99,9.45,6.8,0,,,
23.87,78.99,3.9,6.8,0,,,
23.87,78.4,3.95,6.8,0,,,
23.87,78.12,3.75,6.8,0,,,
23.81,78.65,4.5,6.79,0,,,
23.87,78.63,0,6.79,0,,,
23.87,78.63,4.15,6.8,0,,,
23.87,78.65,3.7,6.8,0,,,
23.87,78.66,3.85,6.8,0,,,
23.87,78.72,3.85,6.8,0,,,
23.87,78.77,3.75,6.8,0,,,
23.87,78.78,3.85,6.8,0,,,
23.87,78.8,3.7,6.8,0,,,
23.87,79.42,4.65,6.8,0,,,
23.87,79.45,2.45,6.8,0,,,
23.87,79.46,3.75,6.8,0,,,
23.87,79.43,3.65,6.8,0,,,
23.87,79.31,3.9,6.8,0,,,
23.81,79.31,3.55,6.79,0,,,
23.87,79.31,3.7,6.8,0,,,
23.87,78.82,3.75,6.8,0,,,
23.87,78.99,3.75,6.8,0,,,
