Temperatura,TDS,Turbidez,PH,Clase
23.94,81.97,10.7,6.84,0
23.94,81.95,10.4,6.84,0
23.94,81.92,3.85,6.84,0
23.94,81.99,3.5,6.83,0
23.94,81.97,3.95,6.83,0
23.94,82.42,3.85,6.83,0
23.94,81.2,3.75,6.83,0
23.94,77.37,4,6.83,0
23.94,77.36,4.3,6.83,0
23.94,77.37,4.3,6.83,0
23.94,77.4,4,6.83,0
23.94,77.56,3.5,6.83,0
23.94,78.07,3.95,6.83,0
23.94,77.67,3.5,6.83,0
23.94,77.18,4,6.84,0
23.94,77.19,3.8,6.84,0
23.94,77.25,4.65,6.83,0
23.94,77.22,4,6.83,0
23.94,77.19,3.95,6.83,0
23.94,77.16,3.55,6.83,0
23.94,77.35,3.75,6.84,0
23.94,76.24,4,6.84,0
23.94,76.49,3.65,6.84,0
23.94,76.56,3.65,6.84,0
23.94,76.04,6.6,6.84,0
23.94,76.04,3.75,6.84,0
23.94,76.1,3.95,6.83,0
23.94,76.25,3.85,6.83,0
23.94,76.14,3.8,6.83,0
23.94,76.15,3.75,6.83,0
23.94,76.64,3.9,6.83,0
23.94,76.64,3.8,6.84,0
23.94,76.61,4.15,6.84,0
23.94,76.54,7.25,6.83,0
23.94,76.49,3.95,6.83,0
23.94,76.49,3.7,6.83,0
23.94,76.36,3.85,6.83,0
24,78.29,4.6,6.83,0
23.94,78.34,4.25,6.83,0
23.94,78.28,3.85,6.83,0
23.94,78.24,0,6.83,0
23.94,78.26,3.75,6.83,0
23.94,78.35,3.8,6.83,0
23.94,79.44,3.95,6.83,0
23.94,79.94,3.85,6.83,0
23.94,79.93,3.75,6.83,0
23.94,79.55,2.4,6.83,0
23.94,79.55,3.45,6.83,0
23.94,79.55,3.75,6.83,0
23.94,79.58,3.55,6.83,0
23.94,79.56,3.85,6.83,0
23.94,79.54,3.55,6.83,0
23.94,79.15,3.9,6.83,0
23.94,77.96,3.55,6.83,0
23.94,78.47,3.85,6.83,0
24,78.41,3.9,6.83,0
23.94,78.47,3.7,6.83,0
24,78.46,3.75,6.84,0
24,78.58,3.75,6.84,0
23.94,78.53,3.5,6.84,0
24,77.99,3.3,6.83,0
23.94,78.02,3.95,6.84,0
23.94,78.35,3.75,6.84,0
24,78.42,3.8,6.84,0
23.94,78.14,3.9,6.84,0
24,78.2,3.95,6.83,0
24,78.23,3.85,6.83,0
24,78.24,3.55,6.83,0
23.94,78.19,3.75,6.83,0
24,78.16,4.15,6.83,0
23.94,79,1.55,6.83,0
23.94,79.03,3.7,6.83,0
24,79.01,4,6.83,0
23.94,78.19,3.85,6.84,0
23.94,78.25,3.85,6.84,0
23.94,78.4,4,6.84,0
23.94,78.71,3.7,6.84,0
24,78.25,3.15,6.84,0
23.94,78.29,4,6.84,0
23.94,78.28,3.7,6.84,0
24,78.31,3.55,6.84,0
24,78.37,4,6.84,0
23.94,78.36,3.75,6.84,0
24,79.27,3.75,6.84,0
23.94,79.28,4,6.84,0
23.94,79.34,3.9,6.84,0
23.94,79.34,3.2,6.84,0
23.94,79.36,5.2,6.84,0
23.94,79.24,1.95,6.84,0
23.87,79.26,3.85,6.84,0
23.94,79.25,3.95,6.84,0
24,79.26,3.9,6.84,0
23.94,78.97,3.5,6.84,0
23.94,77.57,4,6.84,0
23.94,77.27,2.5,6.84,0
23.94,77.19,3.8,6.84,0
23.94,77.22,3.95,6.84,0
23.94,77.21,3.9,6.83,0
24,77.2,3.85,6.84,0
23.94,77.42,3.95,6.84,0
23.94,76.89,6.25,6.84,0
23.94,76.85,2.65,6.84,0
24,76.87,4.55,6.84,0
23.94,76.86,5.15,6.84,0
23.94,76.86,4,6.84,0
23.94,76.73,3.75,6.84,0
23.94,76.76,3.95,6.84,0
23.94,77.78,3.85,6.84,0
23.94,77.9,3.8,6.84,0
23.94,77.03,3.7,6.84,0
23.94,77,3.75,6.84,0
23.94,76.99,3.9,6.84,0
23.94,76.99,4,6.84,0
23.94,77.23,3.75,6.84,0
23.94,77.22,3.9,6.84,0
23.94,77.24,3.7,6.84,0
23.94,76.94,0,6.84,0
23.94,76.91,4.3,6.84,0
23.94,77.02,3.75,6.84,0
23.94,77.01,3.3,6.84,0
24,77.04,3.5,6.84,0
23.94,77,3.95,6.83,0
23.94,76.51,3.95,6.83,0
23.94,77.84,4,6.84,0
23.94,78.51,3.65,6.84,0
